,IP,Traceroute,TTL,Latency,Delay
172,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.148, 26.064, 26.238, 26.784, 27.55]"
173,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.472, 25.827, 27.186, 27.183, 27.66]"
174,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,50.3,"[25.654, 26.941, 26.938, 27.293, 28.17]"
175,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.6,"[25.419, 26.088, 26.621, 26.81, 27.75]"
176,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[26.792, 27.512, 26.786, 26.784, 27.7]"
177,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.136, 26.197, 26.344, 26.692, 27.57]"
178,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.2,"[25.76, 26.281, 26.857, 27.079, 28.06]"
179,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,34.7,"[25.963, 26.804, 27.322, 27.649, 27.99]"
180,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.7,"[25.191, 25.8, 26.518, 26.719, 27.67]"
181,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.9,"[25.049, 26.053, 26.288, 26.689, 27.58]"
182,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,28.0,"[25.258, 26.165, 26.586, 26.864, 42.75]"
183,byu.edu,"[[97, 75, 190], [69, 169, 182], [128, 187, 16]]",238.0,27.8,"[25.456, 28.756, 26.718, 26.944, 27.79]"
