,IP,Traceroute,TTL,Latency,Delay
147,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[7.366, 1.527, 44.218, 44.254, 119.591]"
148,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.129, 1.476, 44.198, 44.196, 118.729]"
149,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[0.845, 1.335, 44.155, 44.188, 119.064]"
150,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[2.427, 1.287, 44.236, 44.269, 118.624]"
151,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[6.853, 2.368, 44.164, 44.203, 120.141]"
152,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[4.835, 1.346, 44.386, 44.352, 119.245]"
153,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[7.885, 1.227, 44.229, 44.26, 122.815]"
154,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[17.496, 1.365, 44.241, 44.284, 122.437]"
155,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,122.0,"[11.424, 1.546, 44.124, 44.186, 122.016]"
156,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,121.0,"[0.926, 1.205, 44.227, 44.282, 123.546]"
157,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[4.675, 1.702, 44.274, 44.334, 123.628]"
158,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,123.0,"[0.873, 1.272, 44.194, 44.227, 123.396]"
